UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE,Cryptocurrency
DAY,1733616000,267,cadli,LTC-USD,11708.713583480683,11856.682206543472,11393.957252908544,11803.241940446678,2024-08-12,Ltc
DAY,1733616000,267,cadli,MATIC-USD,61.21188008636933,61.81642597229295,59.2808655488216,61.483035681032256,2024-08-12,Polygon
DAY,1733616000,267,cadli,XRP-USD,228.4242218902803,231.39059221642012,217.50801078190509,226.87260216313524,2024-08-12,Ripple
DAY,1704758400,267,cadli,BCH-USD,22230.573103977567,22509.178266099578,21053.302355476764,21426.66673592073,2024-09-01,Bch
DAY,1704758400,267,cadli,BNB-USD,26579.809560842223,26830.64333704343,25896.267662415878,26335.14030923977,2024-09-01,Bnb
DAY,1704758400,267,cadli,BTC-USD,4116335.350839146,4183661.0497240215,3968922.017965943,4035515.658176762,2024-09-01,Btc
DAY,1704758400,267,cadli,DOGE-USD,7.131098755814924,7.263624741730337,6.751359691354226,6.934896745691989,2024-09-01,Doge
DAY,1704758400,267,cadli,DOT-USD,654.9032963744845,658.6081462529326,604.9162405022589,623.4539228032254,2024-09-01,Dot
DAY,1704758400,267,cadli,ETH-USD,204027.78040053105,207303.49053020903,196330.89187824036,205066.1886362988,2024-09-01,Eth
DAY,1704758400,267,cadli,LINK-USD,1238.312839210652,1247.5975712956615,1170.1441999642486,1199.7885179344723,2024-09-01,Link
DAY,1704758400,267,cadli,LTC-USD,5926.300063791142,5927.7743952099245,5657.007038056699,5853.277774771519,2024-09-01,Ltc
DAY,1704758400,267,cadli,MATIC-USD,73.67705540770234,73.90697762622159,68.45044455488254,70.53993401118656,2024-09-01,Polygon
DAY,1704758400,267,cadli,XRP-USD,50.6053747057603,50.65403993350085,48.70607742685132,49.630355821114414,2024-09-01,Ripple
DAY,1707436800,267,cadli,BCH-USD,21381.693417314986,22161.049597781468,21381.68292027439,21893.890086963816,2024-09-02,Bch
DAY,1707436800,267,cadli,BNB-USD,27903.92671512956,28515.207178101165,27803.43944680879,28342.247285972728,2024-09-02,Bnb
DAY,1707436800,267,cadli,BTC-USD,3961267.984771746,4209068.531451117,3957508.091120708,4122462.058591162,2024-09-02,Btc
DAY,1707436800,267,cadli,DOGE-USD,6.994294643517309,7.1894035927100415,6.994294643517309,7.141021569991454,2024-09-02,Doge
DAY,1707436800,267,cadli,DOT-USD,613.4674747248408,640.6180070283613,608.7826955115344,629.2790530614175,2024-09-02,Dot
DAY,1707436800,267,cadli,ETH-USD,211603.4473731313,220605.88474186647,211565.24125482212,217497.59139581432,2024-09-02,Eth
DAY,1707436800,267,cadli,LINK-USD,1593.5372562048078,1628.148775126523,1579.7739998796849,1615.5113070987218,2024-09-02,Link
DAY,1707436800,267,cadli,LTC-USD,6165.214613265059,6288.180001480671,6137.505018228996,6177.359062917722,2024-09-02,Ltc
