UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE
DAY,1496188800,267,cadli,ETH-USD,20190.02082969592,21106.736090653805,18298.8653213952,20117.431146013823,2017-05-31
DAY,1496275200,267,cadli,ETH-USD,20117.431146013823,20669.86319138026,18134.406123257177,19284.124863630357,2017-06-01
DAY,1496361600,267,cadli,ETH-USD,19284.124863630357,20190.528061229084,18740.79900593959,19370.2928916971,2017-06-02
DAY,1496448000,267,cadli,ETH-USD,19370.2928916971,20954.540774850986,19093.597600936602,20863.38640173902,2017-06-03
DAY,1496534400,267,cadli,ETH-USD,20863.38640173902,22993.76160853565,19589.793681834934,22378.954858714285,2017-06-04
DAY,1496620800,267,cadli,ETH-USD,22378.954858714285,22694.815720216917,21824.70684778567,22080.841325843434,2017-06-05
DAY,1496707200,267,cadli,ETH-USD,22080.841325843434,23914.543238054313,21882.32670999875,23678.043500489093,2017-06-06
DAY,1496793600,267,cadli,ETH-USD,23678.043500489093,23706.48622241812,22340.75910189491,22862.234328173905,2017-06-07
DAY,1496880000,267,cadli,ETH-USD,22862.234328173905,23228.141916711225,22449.09888209183,23097.04286073304,2017-06-08
DAY,1496966400,267,cadli,ETH-USD,23097.04286073304,24932.002855161063,23037.47084317955,24765.316449140668,2017-06-09
DAY,1497052800,267,cadli,ETH-USD,24765.316449140668,30779.933781116797,24765.316449140668,29337.045671233765,2017-06-10
DAY,1497139200,267,cadli,ETH-USD,29337.045671233765,30792.241889726025,27073.505396763245,29642.667065516896,2017-06-11
DAY,1497225600,267,cadli,ETH-USD,29642.667065516896,37061.90894045701,29595.34437477131,35495.75438533693,2017-06-12
DAY,1497312000,267,cadli,ETH-USD,35495.75438533693,36314.04028697419,32138.78860340932,34887.10537753185,2017-06-13
DAY,1497398400,267,cadli,ETH-USD,34887.10537753185,35347.957541964686,29291.42033557506,31601.762882820083,2017-06-14
DAY,1497484800,267,cadli,ETH-USD,31601.762882820083,32142.80462812586,23052.079074649573,31863.35722905859,2017-06-15
DAY,1497571200,267,cadli,ETH-USD,31863.35722905859,32807.42313063478,29939.222740899073,32449.174430501258,2017-06-16
DAY,1497657600,267,cadli,ETH-USD,32449.174430501258,34123.49975579716,31762.772390955175,33897.169548806676,2017-06-17
DAY,1497744000,267,cadli,ETH-USD,33897.169548806676,34844.780812586054,30031.2707918859,32817.31682660567,2017-06-18
DAY,1497830400,267,cadli,ETH-USD,32817.31682660567,33529.77468088949,32467.186793382127,33108.526476194245,2017-06-19
DAY,1497916800,267,cadli,ETH-USD,33108.526476194245,34086.26629437623,28142.951751849225,32349.975388755476,2017-06-20
DAY,1498003200,267,cadli,ETH-USD,32349.975388755476,33660.30640339064,25700.137529244555,29332.13807859283,2017-06-21
DAY,1498089600,267,cadli,ETH-USD,29332.13807859283,31770.4530527389,27419.0879505293,29133.197131704776,2017-06-22
DAY,1498176000,267,cadli,ETH-USD,29133.197131704776,31943.832680799584,28904.881247092846,30349.690441174473,2017-06-23
DAY,1498262400,267,cadli,ETH-USD,30349.690441174473,31199.166061213644,26072.88526735222,26952.998532252368,2017-06-24
DAY,1498348800,267,cadli,ETH-USD,26952.998532252368,28042.977881929142,22170.48895743608,24315.273639623738,2017-06-25
DAY,1498435200,267,cadli,ETH-USD,24315.273639623738,25635.58766801835,18502.428308600614,22189.174735994948,2017-06-26
DAY,1498521600,267,cadli,ETH-USD,22189.174735994948,25619.358323753237,19004.484327941642,25619.358323753237,2017-06-27
DAY,1498608000,267,cadli,ETH-USD,25619.358323753237,29281.09791370622,23671.53555583875,28760.912743270466,2017-06-28
